Survived,Pclass,Sex,Age,SibSp,Parch,FamilySize,IsAlone,Fare,Embarked,Deck,HasCabin,TicketGroupSize,TicketPrefix,Title,PassengerId
0,2,male,29.0,1,0,2,0,21.0,S,U,0,2,NUM,Mr,118
0,1,male,24.0,0,1,2,0,247.5208,C,B,1,2,PC,Mr,119
0,3,female,2.0,4,2,7,0,31.275,S,U,0,7,NUM,Miss,120
0,2,male,21.0,2,0,3,0,73.5,S,U,0,5,SOC,Mr,121
0,3,male,,0,0,1,1,8.05,S,U,0,1,A,Mr,122
0,2,male,32.5,1,0,2,0,30.0708,C,U,0,2,NUM,Mr,123
1,2,female,32.5,0,0,1,1,13.0,S,E,1,1,NUM,Miss,124
0,1,male,54.0,0,1,2,0,77.2875,S,D,1,2,NUM,Mr,125
1,3,male,12.0,1,0,2,0,11.2417,C,U,0,2,NUM,Master,126
0,3,male,,0,0,1,1,7.75,Q,U,0,1,NUM,Mr,127
1,3,male,24.0,0,0,1,1,7.1417,S,U,0,1,C,Mr,128
1,3,female,,1,1,3,0,22.3583,C,F,1,2,NUM,Miss,129
0,3,male,45.0,0,0,1,1,6.975,S,U,0,1,NUM,Mr,130
0,3,male,33.0,0,0,1,1,7.8958,C,U,0,1,NUM,Mr,131
0,3,male,20.0,0,0,1,1,7.05,S,U,0,1,SOTONOQ,Mr,132
0,3,female,47.0,1,0,2,0,14.5,S,U,0,1,A,Mrs,133
1,2,female,29.0,1,0,2,0,26.0,S,U,0,1,NUM,Mrs,134
0,2,male,25.0,0,0,1,1,13.0,S,U,0,1,CA,Mr,135
0,2,male,23.0,0,0,1,1,15.0458,C,U,0,1,SCPARIS,Mr,136
1,1,female,19.0,0,2,3,0,26.2833,S,D,1,1,NUM,Miss,137
0,1,male,37.0,1,0,2,0,53.1,S,C,1,2,NUM,Mr,138
0,3,male,16.0,0,0,1,1,9.2167,S,U,0,2,NUM,Mr,139
0,1,male,24.0,0,0,1,1,79.2,C,B,1,2,PC,Mr,140
0,3,female,,0,2,3,0,15.2458,C,U,0,2,NUM,Mrs,141
1,3,female,22.0,0,0,1,1,7.75,S,U,0,1,NUM,Miss,142
1,3,female,24.0,1,0,2,0,15.85,S,U,0,2,STONO,Mrs,143
0,3,male,19.0,0,0,1,1,6.75,Q,U,0,1,NUM,Mr,144
0,2,male,18.0,0,0,1,1,11.5,S,U,0,1,NUM,Mr,145
0,2,male,19.0,1,1,3,0,36.75,S,U,0,2,CA,Mr,146
1,3,male,27.0,0,0,1,1,7.7958,S,U,0,1,NUM,Mr,147
0,3,female,9.0,2,2,5,0,34.375,S,U,0,4,WC,Miss,148
0,2,male,36.5,0,2,3,0,26.0,S,F,1,3,NUM,Mr,149
0,2,male,42.0,0,0,1,1,13.0,S,U,0,1,NUM,Rare,150
0,2,male,51.0,0,0,1,1,12.525,S,U,0,1,SOP,Rare,151
1,1,female,22.0,1,0,2,0,66.6,S,C,1,2,NUM,Mrs,152
0,3,male,55.5,0,0,1,1,8.05,S,U,0,1,A,Mr,153
0,3,male,40.5,0,2,3,0,14.5,S,U,0,1,A,Mr,154
0,3,male,,0,0,1,1,7.3125,S,U,0,1,Fa,Mr,155
0,1,male,51.0,0,1,2,0,61.3792,C,U,0,1,PC,Mr,156
1,3,female,16.0,0,0,1,1,7.7333,Q,U,0,1,NUM,Miss,157
0,3,male,30.0,0,0,1,1,8.05,S,U,0,1,SOTONOQ,Mr,158
0,3,male,,0,0,1,1,8.6625,S,U,0,1,NUM,Mr,159
0,3,male,,8,2,11,0,69.55,S,U,0,7,CA,Master,160
0,3,male,44.0,0,1,2,0,16.1,S,U,0,1,NUM,Mr,161
1,2,female,40.0,0,0,1,1,15.75,S,U,0,1,CA,Mrs,162
0,3,male,26.0,0,0,1,1,7.775,S,U,0,1,NUM,Mr,163
0,3,male,17.0,0,0,1,1,8.6625,S,U,0,1,NUM,Mr,164
0,3,male,1.0,4,1,6,0,39.6875,S,U,0,6,NUM,Master,165
1,3,male,9.0,0,2,3,0,20.525,S,U,0,3,NUM,Master,166
1,1,female,,0,1,2,0,55.0,S,E,1,2,NUM,Mrs,167
0,3,female,45.0,1,4,6,0,27.9,S,U,0,6,NUM,Mrs,168
0,1,male,,0,0,1,1,25.925,S,U,0,1,PC,Mr,169
0,3,male,28.0,0,0,1,1,56.4958,S,U,0,7,NUM,Mr,170
0,1,male,61.0,0,0,1,1,33.5,S,B,1,1,NUM,Mr,171
0,3,male,4.0,4,1,6,0,29.125,Q,U,0,5,NUM,Master,172
1,3,female,1.0,1,1,3,0,11.1333,S,U,0,3,NUM,Miss,173
0,3,male,21.0,0,0,1,1,7.925,S,U,0,1,STONO,Mr,174
0,1,male,56.0,0,0,1,1,30.6958,C,A,1,1,NUM,Mr,175
0,3,male,18.0,1,1,3,0,7.8542,S,U,0,1,NUM,Mr,176
0,3,male,,3,1,5,0,25.4667,S,U,0,4,NUM,Master,177
0,1,female,50.0,0,0,1,1,28.7125,C,C,1,1,PC,Miss,178
0,2,male,30.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,179
0,3,male,36.0,0,0,1,1,0.0,S,U,0,4,LINE,Mr,180
0,3,female,,8,2,11,0,69.55,S,U,0,7,CA,Miss,181
0,2,male,,0,0,1,1,15.05,C,U,0,1,SCPARIS,Mr,182
0,3,male,9.0,4,2,7,0,31.3875,S,U,0,4,NUM,Master,183
1,2,male,1.0,2,1,4,0,39.0,S,F,1,2,NUM,Master,184
1,3,female,4.0,0,2,3,0,22.025,S,U,0,1,NUM,Miss,185
0,1,male,,0,0,1,1,50.0,S,A,1,1,NUM,Mr,186
1,3,female,,1,0,2,0,15.5,Q,U,0,2,NUM,Mrs,187
1,1,male,45.0,0,0,1,1,26.55,S,U,0,1,NUM,Mr,188
0,3,male,40.0,1,1,3,0,15.5,Q,U,0,2,NUM,Mr,189
0,3,male,36.0,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,190
1,2,female,32.0,0,0,1,1,13.0,S,U,0,1,NUM,Mrs,191
0,2,male,19.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,192
1,3,female,19.0,1,0,2,0,7.8542,S,U,0,1,NUM,Miss,193
1,2,male,3.0,1,1,3,0,26.0,S,F,1,3,NUM,Master,194
1,1,female,44.0,0,0,1,1,27.7208,C,B,1,1,PC,Mrs,195
1,1,female,58.0,0,0,1,1,146.5208,C,B,1,2,PC,Miss,196
0,3,male,,0,0,1,1,7.75,Q,U,0,1,NUM,Mr,197
0,3,male,42.0,0,1,2,0,8.4042,S,U,0,1,NUM,Mr,198
1,3,female,,0,0,1,1,7.75,Q,U,0,1,NUM,Miss,199
0,2,female,24.0,0,0,1,1,13.0,S,U,0,1,NUM,Miss,200
0,3,male,28.0,0,0,1,1,9.5,S,U,0,1,NUM,Mr,201
0,3,male,,8,2,11,0,69.55,S,U,0,7,CA,Mr,202
0,3,male,34.0,0,0,1,1,6.4958,S,U,0,1,NUM,Mr,203
0,3,male,45.5,0,0,1,1,7.225,C,U,0,1,NUM,Mr,204
1,3,male,18.0,0,0,1,1,8.05,S,U,0,1,A,Mr,205
0,3,female,2.0,0,1,2,0,10.4625,S,G,1,2,NUM,Miss,206
0,3,male,32.0,1,0,2,0,15.85,S,U,0,2,NUM,Mr,207
1,3,male,26.0,0,0,1,1,18.7875,C,U,0,2,NUM,Mr,208
1,3,female,16.0,0,0,1,1,7.75,Q,U,0,1,NUM,Miss,209
1,1,male,40.0,0,0,1,1,31.0,C,A,1,1,NUM,Mr,210
0,3,male,24.0,0,0,1,1,7.05,S,U,0,1,SOTONOQ,Mr,211
1,2,female,35.0,0,0,1,1,21.0,S,U,0,1,FCC,Miss,212
0,3,male,22.0,0,0,1,1,7.25,S,U,0,1,A,Mr,213
0,2,male,30.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,214
0,3,male,,1,0,2,0,7.75,Q,U,0,1,NUM,Mr,215
1,1,female,31.0,1,0,2,0,113.275,C,D,1,3,NUM,Miss,216
1,3,female,27.0,0,0,1,1,7.925,S,U,0,1,STONO,Miss,217
0,2,male,42.0,1,0,2,0,27.0,S,U,0,2,NUM,Mr,218
1,1,female,32.0,0,0,1,1,76.2917,C,D,1,1,NUM,Miss,219
0,2,male,30.0,0,0,1,1,10.5,S,U,0,1,WC,Mr,220
1,3,male,16.0,0,0,1,1,8.05,S,U,0,1,SOTONOQ,Mr,221
0,2,male,27.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,222
0,3,male,51.0,0,0,1,1,8.05,S,U,0,1,NUM,Mr,223
0,3,male,,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,224
1,1,male,38.0,1,0,2,0,90.0,S,C,1,2,NUM,Mr,225
0,3,male,22.0,0,0,1,1,9.35,S,U,0,1,PP,Mr,226
1,2,male,19.0,0,0,1,1,10.5,S,U,0,1,SWPP,Mr,227
0,3,male,20.5,0,0,1,1,7.25,S,U,0,1,A,Mr,228
0,2,male,18.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,229
0,3,female,,3,1,5,0,25.4667,S,U,0,4,NUM,Miss,230
1,1,female,35.0,1,0,2,0,83.475,S,C,1,2,NUM,Mrs,231
0,3,male,29.0,0,0,1,1,7.775,S,U,0,1,NUM,Mr,232
0,2,male,59.0,0,0,1,1,13.5,S,U,0,1,NUM,Mr,233
1,3,female,5.0,4,2,7,0,31.3875,S,U,0,4,NUM,Miss,234
0,2,male,24.0,0,0,1,1,10.5,S,U,0,1,CA,Mr,235
0,3,female,,0,0,1,1,7.55,S,U,0,1,WC,Miss,236
0,2,male,44.0,1,0,2,0,26.0,S,U,0,1,NUM,Mr,237
1,2,female,8.0,0,2,3,0,26.25,S,U,0,3,CA,Miss,238
0,2,male,19.0,0,0,1,1,10.5,S,U,0,1,NUM,Mr,239
0,2,male,33.0,0,0,1,1,12.275,S,U,0,1,SCOW,Mr,240
0,3,female,,1,0,2,0,14.4542,C,U,0,2,NUM,Miss,241
1,3,female,,1,0,2,0,15.5,Q,U,0,2,NUM,Miss,242
0,2,male,29.0,0,0,1,1,10.5,S,U,0,1,WC,Mr,243
0,3,male,22.0,0,0,1,1,7.125,S,U,0,1,STONO,Mr,244
0,3,male,30.0,0,0,1,1,7.225,C,U,0,1,NUM,Mr,245
0,1,male,44.0,2,0,3,0,90.0,Q,C,1,2,NUM,Rare,246
0,3,female,25.0,0,0,1,1,7.775,S,U,0,1,NUM,Miss,247
1,2,female,24.0,0,2,3,0,14.5,S,U,0,2,NUM,Mrs,248
1,1,male,37.0,1,1,3,0,52.5542,S,D,1,2,NUM,Mr,249
0,2,male,54.0,1,0,2,0,26.0,S,U,0,2,NUM,Rare,250
0,3,male,,0,0,1,1,7.25,S,U,0,1,NUM,Mr,251
0,3,female,29.0,1,1,3,0,10.4625,S,G,1,2,NUM,Mrs,252
0,1,male,62.0,0,0,1,1,26.55,S,C,1,1,NUM,Mr,253
0,3,male,30.0,1,0,2,0,16.1,S,U,0,2,A,Mr,254
0,3,female,41.0,0,2,3,0,20.2125,S,U,0,2,NUM,Mrs,255
1,3,female,29.0,0,2,3,0,15.2458,C,U,0,1,NUM,Mrs,256
1,1,female,,0,0,1,1,79.2,C,U,0,1,PC,Mrs,257
1,1,female,30.0,0,0,1,1,86.5,S,B,1,3,NUM,Miss,258
1,1,female,35.0,0,0,1,1,512.3292,C,U,0,3,PC,Miss,259
1,2,female,50.0,0,1,2,0,26.0,S,U,0,2,NUM,Mrs,260
0,3,male,,0,0,1,1,7.75,Q,U,0,1,NUM,Mr,261
1,3,male,3.0,4,2,7,0,31.3875,S,U,0,4,NUM,Master,262
0,1,male,52.0,1,1,3,0,79.65,S,E,1,3,NUM,Mr,263
0,1,male,40.0,0,0,1,1,0.0,S,B,1,1,NUM,Mr,264
0,3,female,,0,0,1,1,7.75,Q,U,0,1,NUM,Miss,265
0,2,male,36.0,0,0,1,1,10.5,S,U,0,1,CA,Mr,266
0,3,male,16.0,4,1,6,0,39.6875,S,U,0,6,NUM,Mr,267
1,3,male,25.0,1,0,2,0,7.775,S,U,0,1,NUM,Mr,268
1,1,female,58.0,0,1,2,0,153.4625,S,C,1,3,PC,Mrs,269
1,1,female,35.0,0,0,1,1,135.6333,S,C,1,3,PC,Miss,270
0,1,male,,0,0,1,1,31.0,S,U,0,2,NUM,Mr,271
1,3,male,25.0,0,0,1,1,0.0,S,U,0,4,LINE,Mr,272
1,2,female,41.0,0,1,2,0,19.5,S,U,0,2,NUM,Mrs,273
0,1,male,37.0,0,1,2,0,29.7,C,C,1,1,PC,Mr,274
1,3,female,,0,0,1,1,7.75,Q,U,0,1,NUM,Miss,275
1,1,female,63.0,1,0,2,0,77.9583,S,D,1,3,NUM,Miss,276
0,3,female,45.0,0,0,1,1,7.75,S,U,0,1,NUM,Miss,277
0,2,male,,0,0,1,1,0.0,S,U,0,3,NUM,Mr,278
0,3,male,7.0,4,1,6,0,29.125,Q,U,0,5,NUM,Master,279
1,3,female,35.0,1,1,3,0,20.25,S,U,0,2,CA,Mrs,280
0,3,male,65.0,0,0,1,1,7.75,Q,U,0,1,NUM,Mr,281
0,3,male,28.0,0,0,1,1,7.8542,S,U,0,1,NUM,Mr,282
0,3,male,16.0,0,0,1,1,9.5,S,U,0,1,NUM,Mr,283
1,3,male,19.0,0,0,1,1,8.05,S,U,0,1,A,Mr,284
0,1,male,,0,0,1,1,26.0,S,A,1,1,NUM,Mr,285
0,3,male,33.0,0,0,1,1,8.6625,C,U,0,1,NUM,Mr,286
1,3,male,30.0,0,0,1,1,9.5,S,U,0,1,NUM,Mr,287
0,3,male,22.0,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,288
1,2,male,42.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,289
1,3,female,22.0,0,0,1,1,7.75,Q,U,0,1,NUM,Miss,290
1,1,female,26.0,0,0,1,1,78.85,S,U,0,2,NUM,Miss,291
1,1,female,19.0,1,0,2,0,91.0792,C,B,1,2,NUM,Mrs,292
0,2,male,36.0,0,0,1,1,12.875,C,D,1,1,SCParis,Mr,293
0,3,female,24.0,0,0,1,1,8.85,S,U,0,1,NUM,Miss,294
0,3,male,24.0,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,295
0,1,male,,0,0,1,1,27.7208,C,U,0,1,PC,Mr,296
0,3,male,23.5,0,0,1,1,7.2292,C,U,0,1,NUM,Mr,297
0,1,female,2.0,1,2,4,0,151.55,S,C,1,4,NUM,Miss,298
1,1,male,,0,0,1,1,30.5,S,C,1,1,NUM,Mr,299
1,1,female,50.0,0,1,2,0,247.5208,C,B,1,2,PC,Mrs,300
1,3,female,,0,0,1,1,7.75,Q,U,0,1,NUM,Miss,301
1,3,male,,2,0,3,0,23.25,Q,U,0,2,NUM,Mr,302
0,3,male,19.0,0,0,1,1,0.0,S,U,0,4,LINE,Mr,303
1,2,female,,0,0,1,1,12.35,Q,E,1,1,NUM,Miss,304
0,3,male,,0,0,1,1,8.05,S,U,0,1,A,Mr,305
1,1,male,0.92,1,2,4,0,151.55,S,C,1,4,NUM,Master,306
1,1,female,,0,0,1,1,110.8833,C,U,0,4,NUM,Miss,307
1,1,female,17.0,1,0,2,0,108.9,C,C,1,2,PC,Mrs,308
0,2,male,30.0,1,0,2,0,24.0,C,U,0,2,PPP,Mr,309
1,1,female,30.0,0,0,1,1,56.9292,C,E,1,2,PC,Miss,310
1,1,female,24.0,0,0,1,1,83.1583,C,C,1,2,NUM,Miss,311
1,1,female,18.0,2,2,5,0,262.375,C,B,1,2,PC,Miss,312
0,2,female,26.0,1,1,3,0,26.0,S,U,0,1,NUM,Mrs,313
0,3,male,28.0,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,314
0,2,male,43.0,1,1,3,0,26.25,S,U,0,3,FCC,Mr,315
1,3,female,26.0,0,0,1,1,7.8542,S,U,0,1,NUM,Miss,316
1,2,female,24.0,1,0,2,0,26.0,S,U,0,2,NUM,Mrs,317
0,2,male,54.0,0,0,1,1,14.0,S,U,0,1,NUM,Rare,318
1,1,female,31.0,0,2,3,0,164.8667,S,C,1,2,NUM,Miss,319
1,1,female,40.0,1,1,3,0,134.5,C,E,1,2,NUM,Mrs,320
0,3,male,22.0,0,0,1,1,7.25,S,U,0,1,A,Mr,321
0,3,male,27.0,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,322
1,2,female,30.0,0,0,1,1,12.35,Q,U,0,1,NUM,Miss,323
1,2,female,22.0,1,1,3,0,29.0,S,U,0,2,NUM,Mrs,324
0,3,male,,8,2,11,0,69.55,S,U,0,7,CA,Mr,325
1,1,female,36.0,0,0,1,1,135.6333,C,C,1,3,PC,Miss,326
0,3,male,61.0,0,0,1,1,6.2375,S,U,0,1,NUM,Mr,327
1,2,female,36.0,0,0,1,1,13.0,S,D,1,1,NUM,Mrs,328
1,3,female,31.0,1,1,3,0,20.525,S,U,0,3,NUM,Mrs,329
1,1,female,16.0,0,1,2,0,57.9792,C,B,1,2,NUM,Miss,330
1,3,female,,2,0,3,0,23.25,Q,U,0,2,NUM,Miss,331
0,1,male,45.5,0,0,1,1,28.5,S,C,1,1,NUM,Mr,332
0,1,male,38.0,0,1,2,0,153.4625,S,C,1,3,PC,Mr,333
0,3,male,16.0,2,0,3,0,18.0,S,U,0,2,NUM,Mr,334
1,1,female,,1,0,2,0,133.65,S,U,0,2,PC,Mrs,335
0,3,male,,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,336
0,1,male,29.0,1,0,2,0,66.6,S,C,1,2,NUM,Mr,337
1,1,female,41.0,0,0,1,1,134.5,C,E,1,2,NUM,Miss,338
1,3,male,45.0,0,0,1,1,8.05,S,U,0,1,NUM,Mr,339
0,1,male,45.0,0,0,1,1,35.5,S,T,1,1,NUM,Mr,340
1,2,male,2.0,1,1,3,0,26.0,S,F,1,3,NUM,Master,341
1,1,female,24.0,3,2,6,0,263.0,S,C,1,4,NUM,Miss,342
0,2,male,28.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,343
0,2,male,25.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,344
0,2,male,36.0,0,0,1,1,13.0,S,U,0,1,NUM,Mr,345
1,2,female,24.0,0,0,1,1,13.0,S,F,1,1,NUM,Miss,346
1,2,female,40.0,0,0,1,1,13.0,S,U,0,1,NUM,Miss,347
1,3,female,,1,0,2,0,16.1,S,U,0,1,NUM,Mrs,348
